Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
1280,Radiocarbon,Caldera,False,False,Quilotoa (Ecuador)
1540,Historical,Arandela De Cúpula,True,False,Augustine (United States)
1660,Historical,Volcán Complejo,True,False,Long Island (Papua New Guinea)
1858,Historical,Estratovolcán,False,True,Tate-yama (Japan)
1864,Historical,Estratovolcán,False,False,Kelut (Indonesia)
1873,Historical,Estratovolcán,False,False,Ragang (Philippines)
1902,Historical,Estratovolcán,False,False,Tori-shima (Japan)
1907,Historical,Volcán En Escudo,False,False,Alayta (Ethiopia)
1909,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1919,Historical,Estratovolcán,False,False,Kelut (Indonesia)
1919,Historical,Estratovolcán,False,False,Nasu (Japan)
1920,Historical,Estratovolcán,False,False,Izalco (El Salvador)
1938,Historical,Estratovolcán,False,False,Bandai (Japan)
1949,Historical,Estratovolcán,False,False,Villarrica (Chile)
1963,Historical,Estratovolcán,False,False,Fuego (Guatemala)
1968,Historical,Estratovolcán,False,False,Mayon (Philippines)
1985,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1992,Historical,Volcán Complejo,False,False,Marapi (Indonesia)
2001,Historical,Estratovolcán,False,False,Stromboli (Italy)
2004,Historical,Estratovolcán,False,False,Manam (Papua New Guinea)
2010,Holocene,Estratovolcán,True,True,Sarigan (United States)
2018,Historical,Estratovolcán,False,True,Etna (Italy)
2020,Historical,Estratovolcán,False,False,Taal (Philippines)
1357,Historical,Volcán Subglacial,False,False,Katla (Iceland)
1586,Historical,Estratovolcán,False,False,Kelut (Indonesia)
1730,Radiocarbon,Cono Piroclástico,False,False,Tseax River Cone (Canada)
1823,Historical,Volcán En Escudo,False,False,Kilauea (United States)
1832,Historical,Estratovolcán,False,False,Merapi (Indonesia)
1838,Historical,Estratovolcán,False,False,Gamalama (Indonesia)
1858,Historical,Estratovolcán,False,False,Mayon (Philippines)
1872,Historical,Caldera,False,False,Aso (Japan)
1879,Historical,Estratovolcán,True,False,Stromboli (Italy)
1893,Historical,Estratovolcán,False,False,Azuma (Japan)
1918,Historical,Volcán Submarino,True,False,Banua Wuhu (Indonesia)
1940,Historical,Estratovolcán,False,False,Miyake-jima (Japan)
1966,Historical,Estratovolcán,True,False,Tinakula (Solomon Is.)
1970,Historical,Estratovolcán,False,False,Hekla (Iceland)
1974,Historical,Estratovolcán,False,False,Fuego (Guatemala)
1975,Historical,Volcán Complejo,False,False,Marapi (Indonesia)
1977,Historical,Caldera,False,False,Krafla (Iceland)
1984,Historical,Volcán Complejo,False,False,On-take (Japan)
1989,Historical,Caldera,False,False,Aso (Japan)
1991,Historical,Volcán Complejo,False,False,Mutnovsky (Russia)
1991,Historical,Estratovolcán,False,False,"Hudson, Cerro (Chile)"
1992,Historical,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
1993,Historical,Estratovolcán,False,False,Mayon (Philippines)
1995,Historical,Volcán Complejo,False,False,Kelimutu (Indonesia)
2015,Historical,Arandela De Cúpula,False,False,Okataina (New Zealand)
2018,Holocene,Estratovolcán,True,False,Kadovar (Papua New Guinea)
-1750,Historical,Estratovolcán,False,False,Veniaminof (United States)
847,Radiocarbon,Estratovolcán,False,False,Bona-Churchill (United States)
930,Historical,Estratovolcán,False,False,Ceboruco (Mexico)
1158,Historical,Estratovolcán,False,False,Hekla (Iceland)
1329,Historical,Estratovolcán,False,False,Etna (Italy)
1510,Historical,Estratovolcán,False,False,Hekla (Iceland)
1615,Historical,Caldera,False,False,Banda Api (Pacific Ocean)
1617,Historical,Estratovolcán,False,False,Fuego (Guatemala)
1646,Historical,Estratovolcán,False,False,Makian (Indonesia)
1677,Historical,Estratovolcán,False,False,La Palma (Spain)
1784,Historical,Volcán En Escudo,False,False,Hualalai (United States)
1800,Historical,Estratovolcán,False,False,St. Helens (United States)
1820,Historical,Caldera,False,False,Banda Api (Pacific Ocean)
1827,Historical,Estratovolcán,True,True,Avachinsky (Russia)
1843,Historical,Estratovolcán,False,False,Etna (Italy)
1847,Historical,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
1857,Holocene,Volcán Complejo,True,True,Umboi (Papua New Guinea)
1866,Historical,Volcán En Escudo,True,False,Ofu-Olosega (United States)
1870,Historical,Estratovolcán,False,False,Ruang (Indonesia)
1870,Historical,Volcán Complejo,False,False,Iliwerung (Indonesia)
1885,Historical,Estratovolcán,False,True,Purace (Colombia)
1897,Historical,Estratovolcán,True,False,Tinakula (Solomon Is.)
1902,Historical,Estratovolcán,True,False,Soufriere St. Vincent (St. Vincent & the Grenadines)
1903,Historical,Volcán En Escudo,False,False,Karthala (Comoros)
1932,Historical,Estratovolcán,False,False,Kusatsu-Shirane (Japan)
1951,Historical,Volcán Submarino,True,False,Kavachi (Solomon Is.)
1971,Historical,Estratovolcán,False,False,Kusatsu-Shirane (Japan)
1991,Historical,Estratovolcán,False,False,Lokon-Empung (Indonesia)
1995,Historical,Volcán Complejo,False,False,Pacaya (Guatemala)
1998,Historical,Volcán En Escudo,False,False,Kilauea (United States)
1999,Historical,Estratovolcán,False,False,Fuego (Guatemala)
2011,Historical,Estratovolcán,False,False,Gamalama (Indonesia)
2017,Holocene,Estratovolcán,False,False,Sinabung (Indonesia)
-1890,Historical,Estratovolcán,False,False,"Hudson, Cerro (Chile)"
-455,Historical,Estratovolcán,False,False,Cotopaxi (Ecuador)
240,Historical,Estratovolcán,False,False,Ksudach (Russia)
1362,Historical,Estratovolcán,False,False,Oraefajokull (Iceland)
1385,Historical,Estratovolcán,False,False,Kelut (Indonesia)
1630,Historical,Estratovolcán,False,False,Furnas (Portugal)
1669,Historical,Estratovolcán,False,True,Etna (Italy)
1670,Historical,Volcán En Escudo,False,False,Aoba (Vanuatu)
1690,Historical,Volcán Complejo,False,False,Guntur (Indonesia)
1766,Historical,Estratovolcán,False,False,Mayon (Philippines)
1780,Historical,Estratovolcán,False,False,Aoga-shima (Japan)
1784,Historical,Caldera,False,False,Grimsvotn (Iceland)
1890,Historical,Estratovolcán,False,False,Victory (Papua New Guinea)
1913,Historical,Volcán Complejo,False,False,Asama (Japan)
1926,Historical,Estratovolcán,False,False,Tokachi (Japan)
1932,Historical,Estratovolcán,False,False,Fuego (Guatemala)
1964,Historical,Estratovolcán,False,False,Villarrica (Chile)
1967,Historical,Caldera,True,False,Deception Island (Antarctica)
1974,Historical,Estratovolcán,False,False,Merapi (Indonesia)
1977,Historical,Estratovolcán,False,False,"Nyiragongo (Congo, DRC)"
1988,Historical,Estratovolcán,False,False,Lonquimay (Chile)
1991,Historical,Volcán Complejo,False,False,Unzen (Japan)
1993,Historical,Estratovolcán,False,False,Guagua Pichincha (Ecuador)
2008,Historical,Estratovolcán,False,False,Tungurahua (Ecuador)
2011,Holocene,Estratovolcán,False,False,Nabro (Eritrea)
2013,Historical,Estratovolcán,False,False,Ubinas (Peru)
2014,Holocene,Estratovolcán,False,False,Sinabung (Indonesia)
2015,Holocene,Estratovolcán,False,False,Sinabung (Indonesia)
416,Historical,Caldera,True,False,Krakatau (Indonesia)
1311,Historical,Estratovolcán,False,False,Kelut (Indonesia)
1410,Historical,Estratovolcán,False,False,Nasu (Japan)
1672,Historical,Estratovolcán,False,False,Fayal (Portugal)
1780,Historical,Estratovolcán,True,False,Sakura-jima (Japan)
1800,Historical,Estratovolcán,False,False,Kieyo (Tanzania)
1803,Historical,Volcán Complejo,False,False,Asama (Japan)
1894,Historical,Escudo Piroclástico,False,False,Ambrym (Vanuatu)
1910,Historical,Estratovolcán,False,False,Usu (Japan)
1911,Historical,Volcán Complejo,False,False,Asama (Japan)
1917,Historical,Estratovolcán,False,True,San Salvador (El Salvador)
1923,Historical,Estratovolcán,False,False,Tangkubanparahu (Indonesia)
1923,Historical,Volcán En Escudo,False,False,Kirishima (Japan)
1929,Historical,Estratovolcán,False,False,Komaga-take (Japan)
1929,Historical,Estratovolcán,False,False,Santa Maria (Guatemala)
1939,Historical,Volcán Submarino,True,False,Kick-'em-Jenny (Netherlands)
1951,Historical,Estratovolcán,False,False,Kelut (Indonesia)
1966,Historical,Estratovolcán,False,False,Awu (Indonesia)
1971,Historical,Estratovolcán,False,False,Villarrica (Chile)
1974,Historical,Arandela De Cúpula,False,False,Niigata-Yake-yama (Japan)
1977,Historical,Volcán En Escudo,False,False,Karthala (Comoros)
1978,Historical,Estratovolcán,False,False,Bulusan (Philippines)
1982,Historical,Cono De Toba,False,False,"Chichon, El (Mexico)"
1986,Historical,Volcán Complejo,False,False,Akita-Yake-yama (Japan)
2001,Historical,Estratovolcán,False,False,Etna (Italy)
2018,Historical,Volcán En Escudo,False,False,Kilauea (United States)
-1645,Historical,Caldera,False,False,Aniakchak (United States)
1636,Historical,Estratovolcán,False,False,Hekla (Iceland)
1669,Historical,Estratovolcán,False,False,Etna (Italy)
1698,Historical,Volcán Complejo,True,False,Vesuvius (Italy)
1706,Historical,Estratovolcán,True,False,Tenerife (Spain)
1707,Historical,Estratovolcán,False,True,Fuji (Japan)
1826,Historical,Volcán Complejo,False,False,Dieng Volc Complex (Indonesia)
1832,Historical,Estratovolcán,False,False,Etna (Italy)
1835,Historical,Estratovolcán,False,False,Cosiguina (Nicaragua)
1860,Historical,Caldera,False,False,Grimsvotn (Iceland)
1871,Historical,Estratovolcán,False,False,Gamalama (Indonesia)
1872,Historical,Estratovolcán,False,False,Sinarka (Russia)
1899,Historical,Estratovolcán,False,False,Dona Juana (Colombia)
1905,Historical,Volcán Complejo,False,False,Vesuvius (Italy)
1924,Historical,Volcán En Escudo,False,False,Kilauea (United States)
1931,Historical,Volcán Complejo,False,False,Asama (Japan)
1947,Historical,Estratovolcán,False,False,Mayon (Philippines)
1957,Historical,Estratovolcán,False,True,Vsevidof (United States)
1963,Historical,Caldera,False,False,Batur (Indonesia)
1967,Historical,Estratovolcán,False,False,"Lengai, Ol Doinyo (Tanzania)"
1969,Historical,Estratovolcán,False,False,Iya (Indonesia)
1988,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1990,Historical,Caldera,False,False,Aso (Japan)
1994,Historical,Estratovolcán,False,True,Huila (Colombia)
1999,Historical,Estratovolcán,False,False,Shiveluch (Russia)
1999,Historical,Estratovolcán,False,False,Tungurahua (Ecuador)
2019,Historical,Estratovolcán,False,False,White Island (New Zealand)
920,Historical,Volcán Subglacial,False,False,Katla (Iceland)
1104,Historical,Estratovolcán,False,False,Hekla (Iceland)
1151,Historical,Filas De Cráteres,False,False,Krisuvik (Iceland)
1206,Historical,Estratovolcán,False,False,Hekla (Iceland)
1329,Historical,Estratovolcán,True,True,Etna (Italy)
1485,Historical,Caldera,False,False,Aso (Japan)
1550,Historical,Volcán Complejo,False,False,Dukono (Indonesia)
1576,Historical,Estratovolcán,False,False,Colima (Mexico)
1580,Historical,Volcán Subglacial,False,False,Katla (Iceland)
1598,Historical,Volcán Complejo,False,False,Asama (Japan)
1730,Historical,Grieta De Viento,False,False,Lanzarote (Spain)
1772,Historical,Estratovolcán,False,False,Papandayan (Indonesia)
1781,Historical,Estratovolcán,True,False,Sakura-jima (Japan)
1826,Historical,Caldera,False,False,Aso (Japan)
1840,Historical,Volcán En Escudo,True,False,Kilauea (United States)
1840,Historical,Estratovolcán,False,False,Savo (Solomon Is.)
1850,Historical,Escudo Piroclástico,False,False,Rabaul (Papua New Guinea)
1858,Historical,Estratovolcán,False,False,Tate-yama (Japan)
1883,Historical,Volcán En Escudo,False,False,Karthala (Comoros)
1887,Historical,Estratovolcán,False,False,Mayon (Philippines)
1890,Historical,Estratovolcán,False,False,Makian (Indonesia)
1902,Historical,Estratovolcán,True,False,Pelee (Martinique)
1902,Historical,Estratovolcán,False,False,Santa Maria (Guatemala)
1936,Historical,Volcán Complejo,False,False,Asama (Japan)
1937,Historical,Estratovolcán,False,False,Llaima (Chile)
1943,Historical,Volcán En Escudo,False,False,"Azul, Cerro (Ecuador)"
1951,Historical,Estratovolcán,False,False,Lamington (Papua New Guinea)
1970,Historical,Caldera,False,False,Campi Flegrei (Italy)
1981,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1983,Historical,Volcán Complejo,True,False,Iliwerung (Indonesia)
1985,Historical,Estratovolcán,False,False,Etna (Italy)
1990,Historical,Estratovolcán,False,False,Sabancaya (Peru)
1990,Historical,Estratovolcán,False,False,"Nyiragongo (Congo, DRC)"
1997,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1999,Historical,Estratovolcán,True,False,Soufriere Hills (Montserrat)
2000,Historical,Estratovolcán,False,False,Merapi (Indonesia)
1593,Historical,Estratovolcán,False,False,Raung (Indonesia)
1609,Historical,Cono Piroclástico,False,False,Tengchong (China)
1692,Historical,Estratovolcán,False,False,Serua (Pacific Ocean)
1718,Historical,Estratovolcán,False,False,Pico (Portugal)
1846,Radiocarbon,Caldera,False,False,Taupo (New Zealand)
1866,Historical,Volcán En Escudo,False,False,Santorini (Greece)
1877,Historical,Volcán En Escudo,True,True,Mauna Loa (United States)
1883,Historical,Cono De Lavado,False,False,Bagana (Papua New Guinea)
1886,Historical,Volcán En Escudo,False,False,Niuafo'ou (Tonga)
1896,Historical,Volcán En Escudo,False,False,Kirishima (Japan)
1902,Historical,Estratovolcán,True,False,Pelee (Martinique)
1914,Historical,Volcán En Escudo,False,False,Aoba (Vanuatu)
1923,Historical,Estratovolcán,False,False,Papandayan (Indonesia)
1928,Historical,Volcán En Escudo,False,False,Santorini (Greece)
1947,Historical,Estratovolcán,False,False,Akagi (Japan)
1963,Historical,Estratovolcán,True,False,Agung (Indonesia)
1963,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1965,Historical,Estratovolcán,True,False,Taal (Philippines)
1973,Historical,Volcán Submarino,False,False,Vestmannaeyjar (Iceland)
1974,Historical,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
1975,Historical,Volcán En Escudo,True,True,Kilauea (United States)
1982,Historical,Cono De Toba,False,False,"Chichon, El (Mexico)"
1986,Radiocarbon,Pero,False,False,Oku Volc Field (Cameroon)
1992,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1994,Historical,Estratovolcán,False,False,Yasur (Vanuatu)
1998,Historical,Estratovolcán,False,False,San Cristobal (Nicaragua)
2004,Historical,Estratovolcán,False,False,Tengger Caldera (Indonesia)
2007,Historical,Estratovolcán,False,False,Huila (Colombia)
2008,Holocene,Caldera,False,False,Chaiten (Chile)
2008,Historical,Estratovolcán,True,False,Kasatochi (United States)
2017,Historical,Estratovolcán,False,False,Merapi (Indonesia)
-1610,Historical,Volcán En Escudo,True,True,Santorini (Greece)
-150,Historical,Volcán Complejo,False,False,St. Andrew Strait (Papua New Guinea)
-100,Historical,Volcán En Escudo,False,False,Okmok (United States)
1341,Historical,Estratovolcán,False,False,Hekla (Iceland)
1430,Historical,Caldera,False,False,Kuwae (Vanuatu)
1510,Historical,Estratovolcán,False,False,Hekla (Iceland)
1580,Radiocarbon,Escudo Piroclástico,False,False,Billy Mitchell (Papua New Guinea)
1698,Historical,Estratovolcán,False,False,Cereme (Indonesia)
1716,Historical,Estratovolcán,True,True,Taal (Philippines)
1717,Historical,Estratovolcán,False,False,Fuego (Guatemala)
1721,Historical,Volcán Subglacial,False,False,Katla (Iceland)
1819,Historical,Estratovolcán,True,False,Asuncion (United States)
1845,Historical,Estratovolcán,False,False,Ruiz (Colombia)
1895,Historical,Volcán En Escudo,False,False,Kirishima (Japan)
1901,Historical,Estratovolcán,True,True,Epi (Vanuatu)
1907,Historical,Volcán Submarino,True,True,Unnamed (Tonga)
1928,Historical,Caldera,True,False,Krakatau (Indonesia)
1940,Historical,Estratovolcán,False,False,"Lengai, Ol Doinyo (Tanzania)"
1946,Historical,Estratovolcán,False,False,Semeru (Indonesia)
1953,Historical,Estratovolcán,False,False,Merapi (Indonesia)
1954,Historical,Estratovolcán,False,False,Tate-yama (Japan)
1961,Historical,Volcán Complejo,False,False,Asama (Japan)
1962,Historical,Estratovolcán,False,False,Tokachi (Japan)
1963,Historical,Estratovolcán,False,True,Agung (Indonesia)
1969,Historical,Volcán Compuesto,True,False,Didicas (Philippines)
1997,Historical,Estratovolcán,False,False,Karangetang [Api Siau] (Indonesia)
2000,Historical,Estratovolcán,False,False,Semeru (Indonesia)
2009,Historical,Volcán En Escudo,False,False,Kilauea (United States)
2011,Historical,Estratovolcán,False,False,Merapi (Indonesia)
-1900,Radiocarbon,Estratovolcán,False,False,Black Peak (United States)
1477,Historical,Estratovolcán,False,False,Bardarbunga (Iceland)
1597,Historical,Estratovolcán,False,False,Raung (Indonesia)
1673,Historical,Estratovolcán,True,False,Gamkonora (Indonesia)
1754,Historical,Estratovolcán,True,True,Taal (Philippines)
1768,Historical,Estratovolcán,False,False,Cotopaxi (Ecuador)
1792,Historical,Volcán Complejo,True,True,Unzen (Japan)
1814,Historical,Estratovolcán,False,False,Mayon (Philippines)
1815,Historical,Estratovolcán,True,False,Tambora (Indonesia)
1818,Historical,Estratovolcán,False,False,Colima (Mexico)
1854,Historical,Estratovolcán,True,False,Alaid (Russia)
1863,Historical,Estratovolcán,True,True,Yasur (Vanuatu)
1872,Historical,Estratovolcán,False,False,Merapi (Indonesia)
1884,Historical,Caldera,True,False,Krakatau (Indonesia)
