,Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
0,1280,6.0,Caldera,True,True,Quilotoa (Ecuador)
1,1540,4.0,Arandela De Cúpula,False,True,Augustine (United States)
2,1660,6.0,Volcán Complejo,False,True,Long Island (Papua New Guinea)
3,1858,,Estratovolcán,True,False,Tate-yama (Japan)
4,1864,2.0,Estratovolcán,True,True,Kelut (Indonesia)
5,1873,2.0,Estratovolcán,True,True,Ragang (Philippines)
6,1902,3.0,Estratovolcán,True,True,Tori-shima (Japan)
7,1907,2.0,Volcán En Escudo,True,True,Alayta (Ethiopia)
8,1909,2.0,Estratovolcán,True,True,Semeru (Indonesia)
9,1919,4.0,Estratovolcán,True,True,Kelut (Indonesia)
10,1919,,Estratovolcán,True,True,Nasu (Japan)
11,1920,3.0,Estratovolcán,True,True,Izalco (El Salvador)
12,1938,,Estratovolcán,True,True,Bandai (Japan)
13,1949,3.0,Estratovolcán,True,True,Villarrica (Chile)
14,1963,3.0,Estratovolcán,True,True,Fuego (Guatemala)
15,1968,3.0,Estratovolcán,True,True,Mayon (Philippines)
16,1985,3.0,Estratovolcán,True,True,Semeru (Indonesia)
17,1992,2.0,Volcán Complejo,True,True,Marapi (Indonesia)
18,2001,2.0,Estratovolcán,True,True,Stromboli (Italy)
19,2004,4.0,Estratovolcán,True,True,Manam (Papua New Guinea)
20,2010,,Estratovolcán,False,False,Sarigan (United States)
21,2018,2.0,Estratovolcán,True,False,Etna (Italy)
22,2020,,Estratovolcán,True,True,Taal (Philippines)
23,1357,4.0,Volcán Subglacial,True,True,Katla (Iceland)
24,1586,5.0,Estratovolcán,True,True,Kelut (Indonesia)
25,1730,,Cono Piroclástico,True,True,Tseax River Cone (Canada)
26,1823,0.0,Volcán En Escudo,True,True,Kilauea (United States)
27,1832,3.0,Estratovolcán,True,True,Merapi (Indonesia)
28,1838,2.0,Estratovolcán,True,True,Gamalama (Indonesia)
29,1858,2.0,Estratovolcán,True,True,Mayon (Philippines)
30,1872,3.0,Caldera,True,True,Aso (Japan)
31,1879,2.0,Estratovolcán,False,True,Stromboli (Italy)
32,1893,2.0,Estratovolcán,True,True,Azuma (Japan)
33,1918,3.0,Volcán Submarino,False,True,Banua Wuhu (Indonesia)
34,1940,2.0,Estratovolcán,True,True,Miyake-jima (Japan)
35,1966,3.0,Estratovolcán,False,True,Tinakula (Solomon Is.)
36,1970,3.0,Estratovolcán,True,True,Hekla (Iceland)
37,1974,4.0,Estratovolcán,True,True,Fuego (Guatemala)
38,1975,2.0,Volcán Complejo,True,True,Marapi (Indonesia)
39,1977,1.0,Caldera,True,True,Krafla (Iceland)
40,1984,,Volcán Complejo,True,True,On-take (Japan)
41,1989,,Caldera,True,True,Aso (Japan)
42,1991,,Volcán Complejo,True,True,Mutnovsky (Russia)
43,1991,5.0,Estratovolcán,True,True,"Hudson, Cerro (Chile)"
44,1992,,Volcán Complejo,True,True,Dieng Volc Complex (Indonesia)
45,1993,2.0,Estratovolcán,True,True,Mayon (Philippines)
46,1995,,Volcán Complejo,True,True,Kelimutu (Indonesia)
47,2015,,Arandela De Cúpula,True,True,Okataina (New Zealand)
48,2018,,Estratovolcán,False,True,Kadovar (Papua New Guinea)
49,-1750,6.0,Estratovolcán,True,True,Veniaminof (United States)
50,847,6.0,Estratovolcán,True,True,Bona-Churchill (United States)
51,930,6.0,Estratovolcán,True,True,Ceboruco (Mexico)
52,1158,4.0,Estratovolcán,True,True,Hekla (Iceland)
53,1329,1.0,Estratovolcán,True,True,Etna (Italy)
54,1510,4.0,Estratovolcán,True,True,Hekla (Iceland)
55,1615,3.0,Caldera,True,True,Banda Api (Pacific Ocean)
56,1617,3.0,Estratovolcán,True,True,Fuego (Guatemala)
57,1646,4.0,Estratovolcán,True,True,Makian (Indonesia)
58,1677,2.0,Estratovolcán,True,True,La Palma (Spain)
59,1784,0.0,Volcán En Escudo,True,True,Hualalai (United States)
60,1800,5.0,Estratovolcán,True,True,St. Helens (United States)
61,1820,2.0,Caldera,True,True,Banda Api (Pacific Ocean)
62,1827,2.0,Estratovolcán,False,False,Avachinsky (Russia)
63,1843,2.0,Estratovolcán,True,True,Etna (Italy)
64,1847,2.0,Volcán Complejo,True,True,Dieng Volc Complex (Indonesia)
65,1857,,Volcán Complejo,False,False,Umboi (Papua New Guinea)
66,1866,2.0,Volcán En Escudo,False,True,Ofu-Olosega (United States)
67,1870,2.0,Estratovolcán,True,True,Ruang (Indonesia)
68,1870,3.0,Volcán Complejo,True,True,Iliwerung (Indonesia)
69,1885,3.0,Estratovolcán,True,False,Purace (Colombia)
70,1897,2.0,Estratovolcán,False,True,Tinakula (Solomon Is.)
71,1902,4.0,Estratovolcán,False,True,Soufriere St. Vincent (St. Vincent & the Grenadines)
72,1903,,Volcán En Escudo,True,True,Karthala (Comoros)
73,1932,3.0,Estratovolcán,True,True,Kusatsu-Shirane (Japan)
74,1951,2.0,Volcán Submarino,False,True,Kavachi (Solomon Is.)
75,1971,,Estratovolcán,True,True,Kusatsu-Shirane (Japan)
76,1991,1.0,Estratovolcán,True,True,Lokon-Empung (Indonesia)
77,1995,3.0,Volcán Complejo,True,True,Pacaya (Guatemala)
78,1998,,Volcán En Escudo,True,True,Kilauea (United States)
79,1999,2.0,Estratovolcán,True,True,Fuego (Guatemala)
80,2011,3.0,Estratovolcán,True,True,Gamalama (Indonesia)
81,2017,,Estratovolcán,True,True,Sinabung (Indonesia)
82,-1890,6.0,Estratovolcán,True,True,"Hudson, Cerro (Chile)"
83,-455,4.0,Estratovolcán,True,True,Cotopaxi (Ecuador)
84,240,6.0,Estratovolcán,True,True,Ksudach (Russia)
85,1362,5.0,Estratovolcán,True,True,Oraefajokull (Iceland)
86,1385,3.0,Estratovolcán,True,True,Kelut (Indonesia)
87,1630,4.0,Estratovolcán,True,True,Furnas (Portugal)
88,1669,3.0,Estratovolcán,True,False,Etna (Italy)
89,1670,2.0,Volcán En Escudo,True,True,Aoba (Vanuatu)
90,1690,3.0,Volcán Complejo,True,True,Guntur (Indonesia)
91,1766,3.0,Estratovolcán,True,True,Mayon (Philippines)
92,1780,3.0,Estratovolcán,True,True,Aoga-shima (Japan)
93,1784,4.0,Caldera,True,True,Grimsvotn (Iceland)
94,1890,2.0,Estratovolcán,True,True,Victory (Papua New Guinea)
95,1913,1.0,Volcán Complejo,True,True,Asama (Japan)
96,1926,3.0,Estratovolcán,True,True,Tokachi (Japan)
97,1932,4.0,Estratovolcán,True,True,Fuego (Guatemala)
98,1964,2.0,Estratovolcán,True,True,Villarrica (Chile)
99,1967,3.0,Caldera,False,True,Deception Island (Antarctica)
100,1974,2.0,Estratovolcán,True,True,Merapi (Indonesia)
101,1977,1.0,Estratovolcán,True,True,"Nyiragongo (Congo, DRC)"
102,1988,3.0,Estratovolcán,True,True,Lonquimay (Chile)
103,1991,1.0,Volcán Complejo,True,True,Unzen (Japan)
104,1993,1.0,Estratovolcán,True,True,Guagua Pichincha (Ecuador)
105,2008,3.0,Estratovolcán,True,True,Tungurahua (Ecuador)
106,2011,3.0,Estratovolcán,True,True,Nabro (Eritrea)
107,2013,,Estratovolcán,True,True,Ubinas (Peru)
108,2014,,Estratovolcán,True,True,Sinabung (Indonesia)
109,2015,,Estratovolcán,True,True,Sinabung (Indonesia)
110,416,,Caldera,False,True,Krakatau (Indonesia)
111,1311,3.0,Estratovolcán,True,True,Kelut (Indonesia)
112,1410,3.0,Estratovolcán,True,True,Nasu (Japan)
113,1672,2.0,Estratovolcán,True,True,Fayal (Portugal)
114,1780,,Estratovolcán,False,True,Sakura-jima (Japan)
115,1800,2.0,Estratovolcán,True,True,Kieyo (Tanzania)
116,1803,2.0,Volcán Complejo,True,True,Asama (Japan)
117,1894,3.0,Escudo Piroclástico,True,True,Ambrym (Vanuatu)
118,1910,2.0,Estratovolcán,True,True,Usu (Japan)
119,1911,2.0,Volcán Complejo,True,True,Asama (Japan)
120,1917,3.0,Estratovolcán,True,False,San Salvador (El Salvador)
121,1923,,Estratovolcán,True,True,Tangkubanparahu (Indonesia)
122,1923,2.0,Volcán En Escudo,True,True,Kirishima (Japan)
123,1929,4.0,Estratovolcán,True,True,Komaga-take (Japan)
124,1929,3.0,Estratovolcán,True,True,Santa Maria (Guatemala)
125,1939,1.0,Volcán Submarino,False,True,Kick-'em-Jenny (Netherlands)
126,1951,3.0,Estratovolcán,True,True,Kelut (Indonesia)
127,1966,4.0,Estratovolcán,True,True,Awu (Indonesia)
128,1971,2.0,Estratovolcán,True,True,Villarrica (Chile)
129,1974,2.0,Arandela De Cúpula,True,True,Niigata-Yake-yama (Japan)
130,1977,0.0,Volcán En Escudo,True,True,Karthala (Comoros)
131,1978,2.0,Estratovolcán,True,True,Bulusan (Philippines)
132,1982,5.0,Cono De Toba,True,True,"Chichon, El (Mexico)"
133,1986,,Volcán Complejo,True,True,Akita-Yake-yama (Japan)
134,2001,2.0,Estratovolcán,True,True,Etna (Italy)
135,2018,1.0,Volcán En Escudo,True,True,Kilauea (United States)
136,-1645,6.0,Caldera,True,True,Aniakchak (United States)
137,1636,3.0,Estratovolcán,True,True,Hekla (Iceland)
138,1669,3.0,Estratovolcán,True,True,Etna (Italy)
139,1698,3.0,Volcán Complejo,False,True,Vesuvius (Italy)
140,1706,2.0,Estratovolcán,False,True,Tenerife (Spain)
141,1707,4.0,Estratovolcán,True,False,Fuji (Japan)
142,1826,2.0,Volcán Complejo,True,True,Dieng Volc Complex (Indonesia)
143,1832,2.0,Estratovolcán,True,True,Etna (Italy)
144,1835,5.0,Estratovolcán,True,True,Cosiguina (Nicaragua)
145,1860,,Caldera,True,True,Grimsvotn (Iceland)
146,1871,2.0,Estratovolcán,True,True,Gamalama (Indonesia)
147,1872,4.0,Estratovolcán,True,True,Sinarka (Russia)
148,1899,4.0,Estratovolcán,True,True,Dona Juana (Colombia)
149,1905,2.0,Volcán Complejo,True,True,Vesuvius (Italy)
150,1924,2.0,Volcán En Escudo,True,True,Kilauea (United States)
151,1931,3.0,Volcán Complejo,True,True,Asama (Japan)
152,1947,2.0,Estratovolcán,True,True,Mayon (Philippines)
153,1957,2.0,Estratovolcán,True,False,Vsevidof (United States)
154,1963,2.0,Caldera,True,True,Batur (Indonesia)
155,1967,3.0,Estratovolcán,True,True,"Lengai, Ol Doinyo (Tanzania)"
156,1969,3.0,Estratovolcán,True,True,Iya (Indonesia)
157,1988,3.0,Estratovolcán,True,True,Semeru (Indonesia)
158,1990,2.0,Caldera,True,True,Aso (Japan)
159,1994,,Estratovolcán,True,False,Huila (Colombia)
160,1999,4.0,Estratovolcán,True,True,Shiveluch (Russia)
161,1999,3.0,Estratovolcán,True,True,Tungurahua (Ecuador)
162,2019,2.0,Estratovolcán,True,True,White Island (New Zealand)
163,920,4.0,Volcán Subglacial,True,True,Katla (Iceland)
164,1104,5.0,Estratovolcán,True,True,Hekla (Iceland)
165,1151,1.0,Filas De Cráteres,True,True,Krisuvik (Iceland)
166,1206,2.0,Estratovolcán,True,True,Hekla (Iceland)
167,1329,3.0,Estratovolcán,False,False,Etna (Italy)
168,1485,2.0,Caldera,True,True,Aso (Japan)
169,1550,3.0,Volcán Complejo,True,True,Dukono (Indonesia)
170,1576,3.0,Estratovolcán,True,True,Colima (Mexico)
171,1580,4.0,Volcán Subglacial,True,True,Katla (Iceland)
172,1598,2.0,Volcán Complejo,True,True,Asama (Japan)
173,1730,2.0,Grieta De Viento,True,True,Lanzarote (Spain)
174,1772,3.0,Estratovolcán,True,True,Papandayan (Indonesia)
175,1781,4.0,Estratovolcán,False,True,Sakura-jima (Japan)
176,1826,2.0,Caldera,True,True,Aso (Japan)
177,1840,0.0,Volcán En Escudo,False,True,Kilauea (United States)
178,1840,3.0,Estratovolcán,True,True,Savo (Solomon Is.)
179,1850,2.0,Escudo Piroclástico,True,True,Rabaul (Papua New Guinea)
180,1858,,Estratovolcán,True,True,Tate-yama (Japan)
181,1883,2.0,Volcán En Escudo,True,True,Karthala (Comoros)
182,1887,3.0,Estratovolcán,True,True,Mayon (Philippines)
183,1890,2.0,Estratovolcán,True,True,Makian (Indonesia)
184,1902,4.0,Estratovolcán,False,True,Pelee (Martinique)
185,1902,6.0,Estratovolcán,True,True,Santa Maria (Guatemala)
186,1936,3.0,Volcán Complejo,True,True,Asama (Japan)
187,1937,2.0,Estratovolcán,True,True,Llaima (Chile)
